porosity,perm
0.07,9.869E-15
0.07,5.922E-15
0.07,1.184E-14
0.08,6.908E-15
0.1,4.935E-14
0.08,2.566E-14
0.11,1.017E-13
0.11,1.056E-13
0.09,7.698E-14
0.11,1.194E-13
0.1,1.549E-13
0.08,2.862E-14
0.15,5.843E-13
0.17,6.948E-13
0.16,6.287E-13
0.18,9.001E-13
0.18,9.524E-13
0.18,8.843E-13
0.25,3.583E-12
0.24,2.856E-12
0.24,3.039E-12
0.06,9.869E-16
0.1,3.158E-14
